name,version,latestVersion,repository,published,publisher,size,license,isProd,isDev,isOptional,isPeer,isBundled,parents
"react","0.0.0","-","-","-","-","-","-",false,false,false,false,false,""
"@mapbox/node-pre-gyp","1.0.9","1.0.10","git://github.com/mapbox/node-pre-gyp.git","2022-03-29T10:52:02.980Z","mapbox-npm-09 (accounts+npmjs-09@mapbox.com)",166447,"BSD-3-Clause",true,false,false,false,false,"bcrypt@5.0.1"
"lru-cache","6.0.0","7.18.3","git://github.com/isaacs/node-lru-cache.git","2020-07-11T00:59:07.352Z","isaacs (i@izs.me)",15643,"ISC",true,false,false,false,false,"semver@7.3.7"
"semver","7.3.7","7.3.8","git+https://github.com/npm/node-semver.git","2022-04-12T17:26:24.970Z","lukekarrys (luke@lukekarrys.com)",87418,"ISC",true,false,false,false,false,"@mapbox/node-pre-gyp@1.0.9"
"@types/bson","4.0.5","4.2.0","https://github.com/DefinitelyTyped/DefinitelyTyped.git","2021-07-29T13:31:59.329Z","types (ts-npm-types@microsoft.com)",26478,"MIT",true,false,false,false,false,"@types/mongodb@3.6.20,mongoose@5.13.14"
"@types/mongodb","3.6.20","4.0.7","https://github.com/DefinitelyTyped/DefinitelyTyped.git","2021-07-07T00:05:25.006Z","types (ts-npm-types@microsoft.com)",214983,"MIT",true,false,false,false,false,"mongoose@5.13.14"
"@types/node","18.0.0","18.14.6","https://github.com/DefinitelyTyped/DefinitelyTyped.git","2022-06-15T23:01:41.709Z","types (ts-npm-types@microsoft.com)",1701852,"MIT",true,false,false,false,false,"@types/bson@4.0.5,@types/mongodb@3.6.20"
"abbrev","1.1.1","2.0.0","git+ssh://git@github.com/isaacs/abbrev-js.git","2017-09-28T02:47:13.220Z","isaacs (i@izs.me)","-","ISC",true,true,false,false,false,"nopt@1.0.10"
"accepts","1.3.7","1.3.8","git+https://github.com/jshttp/accepts.git","2019-04-30T03:41:03.144Z","dougwilson (doug@somethingdoug.com)",16646,"MIT",true,false,false,false,false,"express@4.16.4"
"acorn","2.7.0","8.8.2","git+https://github.com/ternjs/acorn.git","2016-01-04T10:31:25.525Z","marijn (marijnh@gmail.com)","-","MIT",true,false,false,false,false,"acorn-globals@1.0.9,constantinople@3.0.2"
"acorn-globals","1.0.9","7.0.1","https://github.com/ForbesLindesay/acorn-globals.git","2015-11-02T13:23:33.643Z","forbeslindesay (forbes@lindesay.co.uk)","-","MIT",true,false,false,false,false,"with@4.0.3"
"agent-base","6.0.2","6.0.2","git://github.com/TooTallNate/node-agent-base.git","2020-10-23T19:33:15.354Z","tootallnate (nathan@tootallnate.net)",34582,"MIT",true,false,false,false,false,"https-proxy-agent@5.0.1"
"debug","4.3.4","4.3.4","git://github.com/debug-js/debug.git","2022-03-17T13:38:47.641Z","qix (josh@junon.me)",42352,"MIT",true,false,false,false,false,"agent-base@6.0.2,https-proxy-agent@5.0.1"
"ms","2.1.2","2.1.3","git+https://github.com/zeit/ms.git","2019-06-06T17:31:55.859Z","styfle (steven@ceriously.com)",6842,"MIT",true,false,false,false,false,"debug@4.3.4,jsonwebtoken@8.5.1,mongoose@5.13.14"
"ajv","6.12.6","-","-","-","-","-","-",false,true,false,false,false,"har-validator@5.1.5"
"amdefine","1.0.1","1.0.1","git+https://github.com/jrburke/amdefine.git","2016-11-02T05:00:51.414Z","jrburke (jrburke@gmail.com)","-","BSD-3-Clause OR MIT",true,false,false,false,false,"source-map@0.1.43"
"ansi-regex","5.0.1","6.0.1","git+https://github.com/chalk/ansi-regex.git","2021-09-14T15:55:19.540Z","qix (josh@junon.me)",5609,"MIT",true,false,false,false,false,"strip-ansi@6.0.1"
"ansi-styles","1.0.0","-","-","-","-","-","-",false,true,false,false,false,"chalk@0.4.0"
"aproba","2.0.0","2.0.0","git+https://github.com/iarna/aproba.git","2018-05-22T21:29:46.504Z","iarna (me@re-becca.org)",8047,"ISC",true,false,false,false,false,"gauge@3.0.2"
"are-we-there-yet","2.0.0","4.0.0","git+https://github.com/npm/are-we-there-yet.git","2021-09-02T14:27:09.143Z","gar (gar+npm@danger.computer)",14102,"ISC",true,false,false,false,false,"npmlog@5.0.1"
"readable-stream","3.6.0","4.3.0","git://github.com/nodejs/readable-stream.git","2020-02-13T19:42:05.463Z","matteo.collina (hello@matteocollina.com)",122295,"MIT",true,false,false,false,false,"are-we-there-yet@2.0.0"
"argparse","1.0.10","-","-","-","-","-","-",false,true,false,false,false,"js-yaml@3.14.1"
"array-flatten","1.1.1","3.0.0","git://github.com/blakeembrey/array-flatten.git","2015-07-09T21:42:55.619Z","blakeembrey (hello@blakeembrey.com)","-","MIT",true,false,false,false,false,"express@4.16.4"
"asn1","0.2.6","-","-","-","-","-","-",false,true,false,false,false,"sshpk@1.17.0"
"assert-plus","1.0.0","-","-","-","-","-","-",false,true,false,false,false,"dashdash@1.14.1,getpass@0.1.7,http-signature@1.2.0,jsprim@1.4.2,sshpk@1.17.0,verror@1.10.0"
"asynckit","0.4.0","-","-","-","-","-","-",false,true,false,false,false,"form-data@2.3.3"
"aws-sign2","0.7.0","-","-","-","-","-","-",false,true,false,false,false,"request@2.88.2"
"aws4","1.11.0","-","-","-","-","-","-",false,true,false,false,false,"request@2.88.2"
"balanced-match","1.0.2","2.0.0","git://github.com/juliangruber/balanced-match.git","2021-04-06T12:51:09.276Z","juliangruber (julian@juliangruber.com)",6939,"MIT",true,false,false,false,false,"brace-expansion@1.1.11"
"basic-auth","2.0.1","2.0.1","git+https://github.com/jshttp/basic-auth.git","2018-09-20T03:26:02.582Z","dougwilson (doug@somethingdoug.com)",8895,"MIT",true,false,false,false,false,"morgan@1.9.1"
"bcrypt","5.0.1","5.1.0","git+https://github.com/kelektiv/node.bcrypt.js.git","2021-02-26T04:59:28.540Z","amitosh (amitosh.swain@gmail.com)",118561,"MIT",true,false,false,false,false,"react@0.0.0"
"bcrypt-pbkdf","1.0.2","-","-","-","-","-","-",false,true,false,false,false,"sshpk@1.17.0"
"bl","2.2.1","6.0.0","git+https://github.com/rvagg/bl.git","2020-08-26T08:25:29.499Z","matteo.collina (hello@matteocollina.com)",59298,"MIT",true,false,false,false,false,"mongodb@3.7.3"
"bluebird","3.5.1","3.7.2","git://github.com/petkaantonov/bluebird.git","2017-10-04T15:51:10.050Z","esailija (petka_antonov@hotmail.com)","-","MIT",true,false,false,false,false,"mquery@3.2.5"
"body-parser","1.18.3","1.20.2","git+https://github.com/expressjs/body-parser.git","2018-05-14T17:16:32.445Z","dougwilson (doug@somethingdoug.com)",55897,"MIT",true,false,false,false,false,"express@4.16.4"
"brace-expansion","1.1.11","2.0.1","git://github.com/juliangruber/brace-expansion.git","2018-02-10T07:42:22.313Z","juliangruber (julian@juliangruber.com)",11059,"MIT",true,false,false,false,false,"minimatch@3.1.2"
"bson","1.1.6","5.0.1","git+https://github.com/mongodb/js-bson.git","2021-03-16T14:40:51.648Z","nbbeeken (neal.beeken@mongodb.com)",774595,"Apache-2.0",true,false,false,false,false,"mongodb@3.7.3,mongoose@5.13.14"
"buffer-equal-constant-time","1.0.1","1.0.1","git@github.com:goinstant/buffer-equal-constant-time.git","2013-12-16T20:12:17.799Z","goinstant (support@goinstant.com)","-","BSD-3-Clause",true,false,false,false,false,"jwa@1.4.1"
"busboy","1.6.0","1.6.0","git+ssh://git@github.com/mscdex/busboy.git","2022-04-19T12:53:31.121Z","mscdex (mscdex@mscdex.net)",124397,"MIT",true,false,false,false,false,"express-fileupload@1.4.0"
"bytes","3.0.0","3.1.2","git+https://github.com/visionmedia/bytes.js.git","2017-08-31T21:52:45.175Z","dougwilson (doug@somethingdoug.com)","-","MIT",true,false,false,false,false,"body-parser@1.18.3,raw-body@2.3.3"
"caseless","0.12.0","-","-","-","-","-","-",false,true,false,false,false,"request@2.88.2"
"chalk","0.4.0","-","-","-","-","-","-",false,true,false,false,false,"update-notifier@0.1.10"
"strip-ansi","0.1.1","-","-","-","-","-","-",false,true,false,false,false,"chalk@0.4.0"
"character-parser","1.2.1","4.0.0","https://github.com/ForbesLindesay/character-parser.git","2014-07-16T12:27:19.082Z","forbeslindesay (forbes@lindeay.co.uk)","-","MIT",true,false,false,false,false,"jade@1.9.2"
"chownr","2.0.0","2.0.0","git://github.com/isaacs/chownr.git","2020-02-12T02:33:07.865Z","isaacs (i@izs.me)",5748,"ISC",true,false,false,false,false,"tar@6.1.11"
"color-support","1.1.3","1.1.3","git+https://github.com/isaacs/color-support.git","2017-06-06T20:40:54.019Z","isaacs (i@izs.me)","-","ISC",true,false,false,false,false,"gauge@3.0.2"
"combined-stream","1.0.8","-","-","-","-","-","-",false,true,false,false,false,"form-data@2.3.3,request@2.88.2"
"commander","2.6.0","10.0.0","https://github.com/tj/commander.js.git","2014-12-29T16:16:14.148Z","zhiyelee (zhiyelee@gmail.com)","-","MIT",true,false,false,false,false,"jade@1.9.2"
"concat-map","0.0.1","0.0.2","git://github.com/substack/node-concat-map.git","2014-01-30T03:06:35.982Z","substack (mail@substack.net)","-","MIT",true,false,false,false,false,"brace-expansion@1.1.11"
"configstore","0.3.2","-","-","-","-","-","-",false,true,false,false,false,"update-notifier@0.1.10"
"object-assign","2.1.1","-","-","-","-","-","-",false,true,false,false,false,"configstore@0.3.2"
"console-control-strings","1.1.0","1.1.0","git+https://github.com/iarna/console-control-strings.git","2016-06-15T23:29:58.743Z","iarna (me@re-becca.org)","-","ISC",true,false,false,false,false,"gauge@3.0.2,npmlog@5.0.1"
"constantinople","3.0.2","4.0.1","https://github.com/ForbesLindesay/constantinople.git","2015-07-21T17:13:27.422Z","forbeslindesay (forbes@lindesay.co.uk)","-","MIT",true,false,false,false,false,"jade@1.9.2"
"content-disposition","0.5.2","0.5.4","git+https://github.com/jshttp/content-disposition.git","2016-12-09T01:17:05.156Z","dougwilson (doug@somethingdoug.com)","-","MIT",true,false,false,false,false,"express@4.16.4"
"content-type","1.0.4","1.0.5","git+https://github.com/jshttp/content-type.git","2017-09-11T21:42:36.476Z","dougwilson (doug@somethingdoug.com)","-","MIT",true,false,false,false,false,"body-parser@1.18.3,express@4.16.4"
"cookie","0.3.1","0.5.0","https://github.com/jshttp/cookie","2016-05-27T04:32:39.156Z","dougwilson (doug@somethingdoug.com)","-","MIT",true,false,false,false,false,"cookie-parser@1.4.4,express@4.16.4"
"cookie-parser","1.4.4","1.4.6","git+https://github.com/expressjs/cookie-parser.git","2019-02-13T00:43:33.732Z","dougwilson (doug@somethingdoug.com)",11188,"MIT",true,false,false,false,false,"react@0.0.0"
"cookie-signature","1.0.6","1.2.1","https://github.com/visionmedia/node-cookie-signature.git","2015-02-03T22:23:15.095Z","natevw (natevw@yahoo.com)","-","MIT",true,false,false,false,false,"cookie-parser@1.4.4,express@4.16.4"
"core-util-is","1.0.3","1.0.3","git://github.com/isaacs/core-util-is.git","2021-08-31T14:35:36.995Z","isaacs (i@izs.me)",4982,"MIT",true,false,false,false,false,"readable-stream@2.3.7"
"css","1.0.8","3.0.0","git+https://github.com/reworkcss/css.git","2013-03-15T15:33:45.189Z","tjholowaychuk (tj@vision-media.ca)","-","MIT",true,false,false,false,false,"transformers@2.1.0"
"css-parse","1.0.4","2.0.0","https://github.com/reworkcss/css-parse.git","2012-09-17T18:44:10.126Z","tjholowaychuk (tj@vision-media.ca)","-","MIT",true,false,false,false,false,"css@1.0.8"
"css-stringify","1.0.5","2.0.0","https://github.com/reworkcss/css-stringify.git","2013-03-15T15:32:36.290Z","tjholowaychuk (tj@vision-media.ca)","-","MIT",true,false,false,false,false,"css@1.0.8"
"dashdash","1.14.1","-","-","-","-","-","-",false,true,false,false,false,"sshpk@1.17.0"
"debug","2.6.9","4.3.4","git://github.com/visionmedia/debug.git","2017-09-22T13:32:35.541Z","tootallnate (nathan@tootallnate.net)","-","MIT",true,false,false,false,false,"react@0.0.0,body-parser@1.18.3,express@4.16.4,finalhandler@1.1.1,morgan@1.9.1,send@0.16.2"
"delayed-stream","1.0.0","-","-","-","-","-","-",false,true,false,false,false,"combined-stream@1.0.8"
"delegates","1.0.0","1.0.0","git+https://github.com/visionmedia/node-delegates.git","2015-12-14T19:56:09.247Z","tjholowaychuk (tj@vision-media.ca)","-","MIT",true,false,false,false,false,"are-we-there-yet@2.0.0"
"denque","1.5.1","2.1.0","git+https://github.com/invertase/denque.git","2021-08-18T16:04:02.889Z","salakar (mike.diarmid@gmail.com)",17460,"Apache-2.0",true,false,false,false,false,"mongodb@3.7.3"
"depd","1.1.2","2.0.0","git+https://github.com/dougwilson/nodejs-depd.git","2018-01-12T05:47:03.858Z","dougwilson (doug@somethingdoug.com)","-","MIT",true,false,false,false,false,"body-parser@1.18.3,express@4.16.4,http-errors@1.6.3,morgan@1.9.1,send@0.16.2"
"destroy","1.0.4","1.2.0","https://github.com/stream-utils/destroy","2016-01-16T03:14:05.899Z","dougwilson (doug@somethingdoug.com)","-","MIT",true,false,false,false,false,"send@0.16.2"
"detect-libc","2.0.1","2.0.1","git://github.com/lovell/detect-libc.git","2022-02-14T10:44:10.231Z","lovell (npm@lovell.info)",19878,"Apache-2.0",true,false,false,false,false,"@mapbox/node-pre-gyp@1.0.9"
"dotenv","8.2.0","16.0.3","git://github.com/motdotla/dotenv.git","2019-10-16T01:50:46.096Z","maxbeatty (npm@maxbeatty.com)",23061,"BSD-2-Clause",true,false,false,false,false,"react@0.0.0"
"ecc-jsbn","0.1.2","-","-","-","-","-","-",false,true,false,false,false,"sshpk@1.17.0"
"ecdsa-sig-formatter","1.0.11","1.0.11","git+ssh://git@github.com/Brightspace/node-ecdsa-sig-formatter.git","2019-01-25T21:32:13.447Z","d2l-travis-deploy (d2ltravisdeploy@d2l.com)",20588,"Apache-2.0",true,false,false,false,false,"jwa@1.4.1"
"ee-first","1.1.1","1.1.1","https://github.com/jonathanong/ee-first","2015-05-25T19:18:28.732Z","dougwilson (doug@somethingdoug.com)","-","MIT",true,false,false,false,false,"on-finished@2.3.0"
"emoji-regex","8.0.0","10.2.1","git+https://github.com/mathiasbynens/emoji-regex.git","2019-03-05T18:58:23.040Z","mathias (mathias@qiwi.be)",48255,"MIT",true,false,false,false,false,"string-width@4.2.3"
"encodeurl","1.0.2","1.0.2","git+https://github.com/pillarjs/encodeurl.git","2018-01-22T03:19:29.733Z","dougwilson (doug@somethingdoug.com)","-","MIT",true,false,false,false,false,"express@4.16.4,finalhandler@1.1.1,send@0.16.2,serve-static@1.13.2"
"escape-html","1.0.3","1.0.3","https://github.com/component/escape-html","2015-09-01T04:47:22.713Z","dougwilson (doug@somethingdoug.com)","-","MIT",true,false,false,false,false,"express@4.16.4,finalhandler@1.1.1,send@0.16.2,serve-static@1.13.2"
"esprima","4.0.1","-","-","-","-","-","-",false,true,false,false,false,"js-yaml@3.14.1"
"etag","1.8.1","1.8.1","git+https://github.com/jshttp/etag.git","2017-09-13T02:43:44.422Z","dougwilson (doug@somethingdoug.com)","-","MIT",true,false,false,false,false,"express@4.16.4,send@0.16.2"
"event-stream","0.5.3","-","-","-","-","-","-",false,true,false,false,false,"ps-tree@0.0.3"
"optimist","0.2.8","-","-","-","-","-","-",false,true,false,false,false,"event-stream@0.5.3"
"express","4.16.4","4.18.2","git+https://github.com/expressjs/express.git","2018-10-11T03:59:14.308Z","dougwilson (doug@somethingdoug.com)",206123,"MIT",true,false,false,false,false,"react@0.0.0"
"express-fileupload","1.4.0","1.4.0","git+https://github.com/richardgirges/express-fileupload.git","2022-05-24T01:09:19.569Z","richardgirges (richardgirges@gmail.com)",1218809,"MIT",true,false,false,false,false,"react@0.0.0"
"extend","3.0.2","-","-","-","-","-","-",false,true,false,false,false,"request@2.88.2"
"extsprintf","1.3.0","-","-","-","-","-","-",false,true,false,false,false,"jsprim@1.4.2,verror@1.10.0"
"fast-deep-equal","3.1.3","-","-","-","-","-","-",false,true,false,false,false,"ajv@6.12.6"
"fast-json-stable-stringify","2.1.0","-","-","-","-","-","-",false,true,false,false,false,"ajv@6.12.6"
"finalhandler","1.1.1","1.2.0","git+https://github.com/pillarjs/finalhandler.git","2018-03-06T17:36:44.075Z","dougwilson (doug@somethingdoug.com)",16905,"MIT",true,false,false,false,false,"express@4.16.4"
"forever-agent","0.6.1","-","-","-","-","-","-",false,true,false,false,false,"request@2.88.2"
"form-data","2.3.3","-","-","-","-","-","-",false,true,false,false,false,"request@2.88.2"
"forwarded","0.1.2","0.2.0","git+https://github.com/jshttp/forwarded.git","2017-09-15T02:17:54.232Z","dougwilson (doug@somethingdoug.com)","-","MIT",true,false,false,false,false,"proxy-addr@2.0.5"
"fresh","0.5.2","0.5.2","git+https://github.com/jshttp/fresh.git","2017-09-14T05:03:12.205Z","dougwilson (doug@somethingdoug.com)","-","MIT",true,false,false,false,false,"express@4.16.4,send@0.16.2"
"fs-minipass","2.1.0","3.0.1","git+https://github.com/npm/fs-minipass.git","2020-01-21T17:39:07.791Z","isaacs (i@izs.me)",14089,"ISC",true,false,false,false,false,"tar@6.1.11"
"fs.realpath","1.0.0","1.0.0","git+https://github.com/isaacs/fs.realpath.git","2016-06-15T18:39:05.978Z","isaacs (i@izs.me)","-","ISC",true,false,false,false,false,"glob@7.2.3"
"gauge","3.0.2","5.0.0","git+https://github.com/iarna/gauge.git","2021-12-13T18:42:42.713Z","gar (gar+npm@danger.computer)",48549,"ISC",true,false,false,false,false,"npmlog@5.0.1"
"getpass","0.1.7","-","-","-","-","-","-",false,true,false,false,false,"sshpk@1.17.0"
"glob","7.2.3","9.2.1","git://github.com/isaacs/node-glob.git","2022-05-15T14:44:04.854Z","isaacs (i@izs.me)",55064,"ISC",true,false,false,false,false,"rimraf@3.0.2"
"minimatch","3.1.2","7.4.2","git://github.com/isaacs/minimatch.git","2022-02-15T20:32:43.510Z","isaacs (i@izs.me)",34902,"ISC",true,false,false,false,false,"glob@7.2.3"
"graceful-fs","3.0.12","-","-","-","-","-","-",false,true,false,false,false,"configstore@0.3.2"
